Industry,Company,Education,Job Title
Travel & Tourism,"Marriott International, Inc",High school graduate/Diploma,House Keeper
Travel & Tourism,"Marriott International, Inc",BA Marketing and communication,Guest Experience Specialist
"Hotels, Motels, & Resorts","Marriott International, Inc",High school graduate/Diploma,Front Desk Agent
Travel & Tourism,"Marriott International, Inc",High school graduate/Diploma,Front Desk Agent
Logistics & Supply Chain,Wesco Aircraft,High school graduate/Diploma,Warehouse Associate I
Transportation & Logistics,Wesco Aircraft,High school graduate/Diploma,"Supervisor, Warehouse"
Finance,Liberty Reverse Mortgage,High School graduate/Diploma,Mortgage Administrative Assistant
Finance,Liberty Reverse Mortgage,High School graduate/Diploma,"Funding Representative, Mortgage Operations"
Finance,Liberty Reverse Mortgage,Bachelor degree (Minimum),Mortgage Retail Production Manager
"Oil, Gas, Energy & Utilities",Republic Services Inc,High School graduate/Diploma,Billing Processor
"Oil, Gas, Energy & Utilities",Republic Services Inc,High School graduate/Diploma,Dispatcher
"Oil, Gas, Energy & Utilities",Republic Services Inc,High School graduate/Diploma,Container Shop Welder
Transportation & Logistics,U-Haul ,Bachelor degree (Minimum),Senior Clerk
Transportation & Logistics,U-Haul ,Bachelor degree (Minimum)/High School graduate,Preventive Maintenance Technician 
Health Care,Anthem ,High School graduate/Diploma,Clerk Sr
Health Care,Anthem ,High School graduate/Diploma,Claims Examiner II
Health Care,Anthem ,High School graduate/Diploma,Nurse Reviewer (Associate or Level I)
Education,KinderCare Learning Centers,Active Child Development Associate (CDA) Credential,Teachers 
Education,KinderCare Learning Centers,(customer service skills) CPR and First Aid Certification,Assistant Teacher
Education,KinderCare Learning Centers,Early Childhood Education,Infant and Preschool Teacher
Business Services,Clean Earth,High School graduate/Diploma,Warehouse Technician
Business Services,Clean Earth,High School graduate/Diploma,Warehouse Worker
Business Services,Clean Earth,High School graduate/Diploma,CDL A Driver
Business Services,Clean Earth,Associate degree ,Lab Pack Field Chemist
Insurance,USI Holdings Corporation,Bachelor degree,Associate Employee Benefits Analyst
Insurance,USI Holdings Corporation,Bachelor degree,Select Producer
Insurance,USI Holdings Corporation,Bachelor degree,Account Manager - Crop Specialist
Insurance,USI Holdings Corporation,Bachelor degree,Senior Account Representative - Commercial Lines
Manufacturing,Nidec Motor Corporation,High School graduate/Diploma,Sales Support Representative I
Manufacturing,Nidec Motor Corporation,High School graduate/Diploma,Quality Documentation Coordinator
Manufacturing,Nidec Motor Corporation,Bachelor degree,Buyer II
Manufacturing,Nidec Motor Corporation,High School graduate/Diploma,Inventory Controller Lead
"Restaurants, Bars & Food Services",Chipotle,High School graduate/Diploma,Restaurant Team Member - Crew
Retail,Boot Barn,High School graduate/Diploma,Sales Associate
"Construction, Civil Engineering, and Environmental Services","GEI Consultants, Inc.",Bachelor degree,Senior Consultant (Nationwide Position- Many Location Options)
"Construction, Civil Engineering, and Environmental Services","GEI Consultants, Inc.",Associate,On-Call Archaeologist
"Construction, Civil Engineering, and Environmental Services","GEI Consultants, Inc.",Associate,Landscape Architect
"Construction, Civil Engineering, and Environmental Services","GEI Consultants, Inc.",Bachelor degree,Structural Engineer
Retail,See's Candies,High School graduate/Diploma,Seasonal Sales Associate 
Retail,See's Candies,High School graduate/Diploma,Sales Associate Mills Shopping Center
Retail,See's Candies,High School graduate/Diploma,Sales Associate Placer Center Plaza
Retail,See's Candies,High School graduate/Diploma,Sales Associate Country Club Center
Health Care,Corporate Service Center,Bachelor degree,Recruitment Coordinator
Health Care,Corporate Service Center,Bachelor degree,Senior Recruiter
Health Care,Corporate Service Center,Bachelor degree,Program Coordinator Telehealth Projects
Health Care,Corporate Service Center,Bachelor degree,Recruiter
"Restaurants, Bars & Food Services",Chipotle Mexican Grill,High School graduate/Diploma,Restaurant Team Member
"Restaurants, Bars & Food Services",Chipotle Mexican Grill,High School graduate/Diploma,Restaurant Team Member - Crew
"Restaurants, Food & Beverages, and Hospitality",Noodles & Company,High School graduate/Diploma,Restaurant Team Member
"Restaurants, Food & Beverages, and Hospitality",Noodles & Company,High School graduate/Diploma,Restaurant Shift Manager
"Restaurants, Food & Beverages, and Hospitality",Noodles & Company,High School graduate/Diploma,Restaurant Team Member - Cook
Health Care,Veterans Canteen Service,College Degree,Store Manager
Health Care,Veterans Canteen Service,College Degree,Food Service Worker
Health Care,Veterans Canteen Service,College Degree,Retail Sales Associate
Information Technology and Services,HawodTech Solutions Inc.,College Degree,Data Entry Clerk
