Category_Type,Category_Name,Date
Top Trending Employers,"University of California, Davis",Feb-21
Top Trending Employers,UC Davis Health,Feb-21
Top Trending Employers,Intel Corporation,Feb-21
Top Trending Employers,Sutter Health,Feb-21
Top Trending Jobs,Real Estate Agent,Feb-21
Top Trending Jobs,Project Manager,Feb-21
Top Trending Jobs,Nurse,Feb-21
Top Trending Jobs,Attorney,Feb-21
Top Trending Jobs,Sales Manager,Feb-21
Top Trending Jobs,Software Engineer,Feb-21
Top Trending Jobs,Account Executive,Feb-21
Top Trending Jobs,Customer Service Representative,Feb-21
Top Trending Jobs,Salesperson,Feb-21
Top Trending Jobs,Account Manager,Feb-21
Top Trending Jobs,Recruiter,Feb-21
Top Trending Skills,JavaScript,Feb-21
Top Trending Skills,Account Management,Feb-21
Top Trending Skills,Sales Management,Feb-21
Top Trending Skills,Investment Properties,Feb-21
Top Trending Skills,Working with First-Time Home Buyers,Feb-21
Top Trending Skills,Legal Writing,Feb-21
Top Trending Skills,Recruiting,Feb-21
Top Trending Skills,Construction Management,Feb-21
Top Trending Skills,Civil Litigation,Feb-21
Top Trending Skills,Sales Operations,Feb-21
Top Trending Skills,Customer Satisfaction,Feb-21
Top Trending Skills,Interviewing,Feb-21
Top Trending Skills,Nursing,Feb-21
Top Trending Skills,Basic Life Support (BLS),Feb-21
