Category_Type,Category_Name,Date
Top Trending Employers,"University of California, Davis",Jul-20
Top Trending Employers,UC Davis Health,Jul-20
Top Trending Employers,Amazon,Jul-20
Top Trending Employers,California State University-Sacramento,Jul-20
Top Trending Employers,Kaiser Permanente,Jul-20
Top Trending Employers,Sutter Health,Jul-20
Top Trending Employers,California Department of Health Care Services,Jul-20
Top Trending Employers,Target,Jul-20
Top Trending Jobs,Real Estate Agent,Jul-20
Top Trending Jobs,Project Manager,Jul-20
Top Trending Jobs,Nurse,Jul-20
Top Trending Jobs,Software Engineer,Jul-20
Top Trending Jobs,Teacher,Jul-20
Top Trending Jobs,Account Manager,Jul-20
Top Trending Jobs,Salesperson,Jul-20
Top Trending Jobs,Customer Service Representative,Jul-20
Top Trending Jobs,Attorney,Jul-20
Top Trending Jobs,Accountant,Jul-20
Top Trending Jobs,Operations Manager,Jul-20
Top Trending Jobs,Account Executive,Jul-20
Top Trending Jobs,Employment Program Representative,Jul-20
Top Trending Jobs,Sales Manager,Jul-20
Top Trending Jobs,Professor,Jul-20
Top Trending Jobs,General Manager,Jul-20
Top Trending Skills,Teaching,Jul-20
Top Trending Skills,JavaScript,Jul-20
Top Trending Skills,Curriculum Development,Jul-20
Top Trending Skills,Account Management,Jul-20
Top Trending Skills,Sales Management,Jul-20
Top Trending Skills,Investment Properties,Jul-20
Top Trending Skills,Working with First-Time Home Buyers,Jul-20
Top Trending Skills,Team Building,Jul-20
Top Trending Skills,Operations Management,Jul-20
Top Trending Skills,Legal Writing,Jul-20
Top Trending Skills,Construction Management,Jul-20
Top Trending Skills,Higher Education,Jul-20
Top Trending Skills,Civil Litigation,Jul-20
Top Trending Skills,Account Reconciliation,Jul-20
Top Trending Skills,Sales Operations,Jul-20
Top Trending Skills,Inventory Management,Jul-20
Top Trending Skills,General Ledger,Jul-20
Top Trending Skills,Customer Satisfaction,Jul-20
Top Trending Skills,Nursing,Jul-20
Top Trending Skills,Basic Life Support (BLS),Jul-20
