Category_Type,Category_Name,Date
Top Trending Employers,"University of California, Davis",Jun-20
Top Trending Employers,UC Davis Health,Jun-20
Top Trending Employers,Amazon,Jun-20
Top Trending Employers,Sutter Health,Jun-20
Top Trending Jobs,Real Estate Agent,Jun-20
Top Trending Jobs,Project Manager,Jun-20
Top Trending Jobs,Software Engineer,Jun-20
Top Trending Jobs,Nurse,Jun-20
Top Trending Jobs,Salesperson,Jun-20
Top Trending Jobs,Customer Service Representative,Jun-20
Top Trending Skills,JavaScript,Jun-20
Top Trending Skills,Investment Properties,Jun-20
Top Trending Skills,Working with First-Time Home Buyers,Jun-20
Top Trending Skills,Construction Management,Jun-20
Top Trending Skills,Customer Satisfaction,Jun-20
Top Trending Skills,Nursing,Jun-20
Top Trending Skills,Basic Life Support (BLS),Jun-20
