Category_Type,Category_Name,Date
Top Trending Employers,UC Davis Health,May-21
Top Trending Employers,"University of California, Davis",May-21
Top Trending Employers,Intel Corporation,May-21
Top Trending Employers,Pacific Gas and Electric Company,May-21
Top Trending Employers,Sutter Health,May-21
Top Trending Employers,Kaiser Permanente,May-21
Top Trending Employers,Blue Shield of California,May-21
Top Trending Jobs,Real Estate Agent,May-21
Top Trending Jobs,Project Manager,May-21
Top Trending Jobs,Software Engineer,May-21
Top Trending Jobs,Salesperson,May-21
Top Trending Jobs,Nurse,May-21
Top Trending Jobs,Account Manager,May-21
Top Trending Jobs,Attorney,May-21
Top Trending Jobs,Account Executive,May-21
Top Trending Jobs,Sales Manager,May-21
Top Trending Jobs,Accountant,May-21
Top Trending Jobs,Customer Service Representative,May-21
Top Trending Jobs,Operations Manager,May-21
Top Trending Skills,JavaScript,May-21
Top Trending Skills,Account Management,May-21
Top Trending Skills,Sales Management,May-21
Top Trending Skills,Investment Properties,May-21
Top Trending Skills,Working with First-Time Home Buyers,May-21
Top Trending Skills,Operations Management,May-21
Top Trending Skills,Team Building,May-21
Top Trending Skills,Legal Writing,May-21
Top Trending Skills,Construction Management,May-21
Top Trending Skills,Civil Litigation,May-21
Top Trending Skills,Account Reconciliation,May-21
Top Trending Skills,Sales Operations,May-21
Top Trending Skills,General Ledger,May-21
Top Trending Skills,Customer Satisfaction,May-21
Top Trending Skills,Nursing,May-21
Top Trending Skills,Basic Life Support (BLS),May-21
