Category_Type,Category_Name,Date
Top Trending Employers,"University of California, Davis",Nov-20
Top Trending Employers,UC Davis Health,Nov-20
Top Trending Employers,Sutter Health,Nov-20
Top Trending Jobs,Real Estate Agent,Nov-20
Top Trending Jobs,Nurse,Nov-20
Top Trending Jobs,Software Engineer,Nov-20
Top Trending Jobs,Project Manager,Nov-20
Top Trending Jobs,Customer Service Representative,Nov-20
Top Trending Jobs,Attorney,Nov-20
Top Trending Jobs,Account Manager,Nov-20
Top Trending Jobs,Salesperson,Nov-20
Top Trending Jobs,Account Executive,Nov-20
Top Trending Jobs,Teacher,Nov-20
Top Trending Jobs,Operations Manager,Nov-20
Top Trending Skills,Teaching,Nov-20
Top Trending Skills,JavaScript,Nov-20
Top Trending Skills,Curriculum Development,Nov-20
Top Trending Skills,Account Management,Nov-20
Top Trending Skills,Investment Properties,Nov-20
Top Trending Skills,Working with First-Time Home Buyers,Nov-20
Top Trending Skills,Operations Management,Nov-20
Top Trending Skills,Team Building,Nov-20
Top Trending Skills,Legal Writing,Nov-20
Top Trending Skills,Construction Management,Nov-20
Top Trending Skills,Civil Litigation,Nov-20
Top Trending Skills,Customer Satisfaction,Nov-20
Top Trending Skills,Nursing,Nov-20
Top Trending Skills,Basic Life Support (BLS),Nov-20
