Category_Type,Category_Name,Date
Top Trending Employers,"University of California, Davis",Oct-20
Top Trending Employers,UC Davis Health,Oct-20
Top Trending Employers,Sutter Health,Oct-20
Top Trending Employers,Amazon,Oct-20
Top Trending Employers,Blue Shield of California,Oct-20
Top Trending Jobs,Nurse,Oct-20
Top Trending Jobs,Real Estate Agent,Oct-20
Top Trending Jobs,Project Manager,Oct-20
Top Trending Jobs,Software Engineer,Oct-20
Top Trending Jobs,Salesperson,Oct-20
Top Trending Jobs,Customer Service Representative,Oct-20
Top Trending Jobs,Account Manager,Oct-20
Top Trending Jobs,Attorney,Oct-20
Top Trending Jobs,Sales Manager,Oct-20
Top Trending Jobs,Operations Manager,Oct-20
Top Trending Skills,JavaScript,Oct-20
Top Trending Skills,Account Management,Oct-20
Top Trending Skills,Sales Management,Oct-20
Top Trending Skills,Investment Properties,Oct-20
Top Trending Skills,Working with First-Time Home Buyers,Oct-20
Top Trending Skills,Operations Management,Oct-20
Top Trending Skills,Team Building,Oct-20
Top Trending Skills,Legal Writing,Oct-20
Top Trending Skills,Construction Management,Oct-20
Top Trending Skills,Civil Litigation,Oct-20
Top Trending Skills,Sales Operations,Oct-20
Top Trending Skills,Customer Satisfaction,Oct-20
Top Trending Skills,Nursing,Oct-20
Top Trending Skills,Basic Life Support (BLS),Oct-20
