Category_Type,Category_Name,Date
Top Trending Employers,"University of California, Davis",Sep-20
Top Trending Employers,UC Davis Health,Sep-20
Top Trending Employers,Sutter Health,Sep-20
Top Trending Employers,Amazon,Sep-20
Top Trending Employers,California State University-Sacramento,Sep-20
Top Trending Jobs,Real Estate Agent,Sep-20
Top Trending Jobs,Nurse,Sep-20
Top Trending Jobs,Project Manager,Sep-20
Top Trending Jobs,Teacher,Sep-20
Top Trending Jobs,Software Engineer,Sep-20
Top Trending Jobs,Salesperson,Sep-20
Top Trending Jobs,Customer Service Representative,Sep-20
Top Trending Jobs,Attorney,Sep-20
Top Trending Jobs,Account Manager,Sep-20
Top Trending Jobs,Operations Manager,Sep-20
Top Trending Jobs,Professor,Sep-20
Top Trending Jobs,Sales Manager,Sep-20
Top Trending Jobs,Account Executive,Sep-20
Top Trending Jobs,Accountant,Sep-20
Top Trending Skills,Teaching,Sep-20
Top Trending Skills,JavaScript,Sep-20
Top Trending Skills,Curriculum Development,Sep-20
Top Trending Skills,Account Management,Sep-20
Top Trending Skills,Sales Management,Sep-20
Top Trending Skills,Investment Properties,Sep-20
Top Trending Skills,Working with First-Time Home Buyers,Sep-20
Top Trending Skills,Operations Management,Sep-20
Top Trending Skills,Team Building,Sep-20
Top Trending Skills,Legal Writing,Sep-20
Top Trending Skills,Construction Management,Sep-20
Top Trending Skills,Higher Education,Sep-20
Top Trending Skills,Civil Litigation,Sep-20
Top Trending Skills,Account Reconciliation,Sep-20
Top Trending Skills,Sales Operations,Sep-20
Top Trending Skills,General Ledger,Sep-20
Top Trending Skills,Customer Satisfaction,Sep-20
Top Trending Skills,Nursing,Sep-20
Top Trending Skills,Basic Life Support (BLS),Sep-20
